model,task_id,n_requests,output_tokens_mean,output_tokens_median,output_tokens_p90,output_tokens_max,cumulative_output_at_end,latency_ms_mean,verbosity_index
qwen3-next-80b-a3b-instruct,t07,80,127.7,127.0,150.5,183,10219,1223.9,128.0
qwen3-next-80b-a3b-instruct,t08,74,13.0,13.0,13.0,13,962,474.4,13.0
qwen3-next-80b-a3b-instruct,t09,127,19.8,20.0,20.0,20,2520,658.7,20.0
qwen3-next-80b-a3b-instruct,t10,37,1193.1,14.0,2680.8,10128,44143,6210.9,1193.0
qwen3-next-80b-a3b-instruct,t11,160,13.9,14.0,14.0,14,2226,668.6,14.0
qwen3-next-80b-a3b-thinking,t01,9,6386.2,4254.0,12649.2,15210,57476,38415.2,6386.0
qwen3-next-80b-a3b-thinking,t02,80,5874.8,4455.5,12573.4,23833,469981,34617.0,5875.0
qwen3-next-80b-a3b-thinking,t03,152,5354.8,3746.5,11485.2,33007,813928,30241.8,5355.0
qwen3-next-80b-a3b-thinking,t04,67,6340.2,4897.0,13332.6,22683,424796,33227.9,6340.0
qwen3-next-80b-a3b-thinking,t05,80,5785.4,4454.5,13012.9,20076,462831,39167.5,5785.0
qwen3-next-80b-a3b-thinking,t06,29,6761.2,5889.0,13841.0,15404,196075,35253.2,6761.0
qwen3-next-80b-a3b-thinking,t07,16,5687.1,4466.5,9593.5,18351,90994,41475.8,5687.0
qwen3-next-80b-a3b-thinking,t08,37,5632.9,3780.0,10996.4,22832,208419,46218.6,5633.0
qwen3-next-80b-a3b-thinking,t09,87,6794.5,5096.0,14024.4,18719,591119,50284.6,6794.0
qwen3-next-80b-a3b-thinking,t10,13,5293.5,3627.0,11376.6,12933,68816,40829.2,5294.0
qwen3-next-80b-a3b-thinking,t11,141,4046.7,3119.0,9456.0,14327,570583,21968.1,4047.0
